dt,order_ts,customer_id,order_id,item_seq,product_id,quantity,unit_price_currency,unit_price,discount_pct,tax_amount,channel,coupon_code
2025-08-05,2025-08-05 18:44:15,CUST000000077652,648336,1,2000000088518,1,INR,2190,30%,77,app,FEST20
2025-08-05,2025-08-05 09:26:59,CUST000000207852,648337,1,2000000008974,1,GBP,18,3%,3,app,
2025-08-05,2025-08-05 09:26:59,CUST000000207852,648337,2,2000000403397,1,GBP,23,1%,2,app,
2025-08-05,2025-08-05 09:26:59,CUST000000207852,648337,3,2000000014036,1,GBP,28,3%,2,app,
2025-08-05,2025-08-05 06:36:18,CUST000000125981,648338,1,2000000405902,Two,INR,3886,9%,353,app,NEW10
2025-08-05,2025-08-05 17:11:54,CUST000000258036,648339,1,2000000436760,1,GBP,1049,0%,189,app,
2025-08-05,2025-08-05 17:11:54,CUST000000258036,648339,2,2000000266763,1,GBP,34,17%,4,app,
2025-08-05,2025-08-05 16:54:46,CUST000000225910,648340,1,2000000059570,1,SGD,51,3%,3,app,PRIME5
2025-08-05,2025-08-05 16:54:46,CUST000000225910,648340,2,2000000345468,1,SGD,78,9%,9,app,PRIME5
2025-08-05,2025-08-05 16:54:46,CUST000000225910,648340,3,2000000209425,1,SGD,15,2%,3,app,PRIME5
2025-08-05,2025-08-05 21:57:19,CUST000000234228,648341,1,2000000342511,1,AED,163,2%,29,web,
2025-08-05,2025-08-05 21:57:19,CUST000000234228,648341,2,2000000039237,1,AED,156,5%,27,web,
2025-08-05,2025-08-05 21:57:19,CUST000000234228,648341,3,2000000341767,3,AED,445,6%,63,web,
2025-08-05,2025-08-05 04:53:07,CUST000000247733,648342,1,2000000380261,1,INR,52346,0%,6282,app,PRIME5
2025-08-05,2025-08-05 04:53:07,CUST000000247733,648342,2,2000000322490,1,INR,48765,17%,2022,app,PRIME5
2025-08-05,2025-08-05 04:53:07,CUST000000247733,648342,3,2000000164878,1,INR,5674,0%,681,app,PRIME5
2025-08-05,2025-08-05 02:13:42,CUST000000039930,648343,1,2000000417752,1,AED,317,14%,14,app,
2025-08-05,2025-08-05 02:13:42,CUST000000039930,648343,2,2000000244235,1,AED,73,0%,4,app,
2025-08-05,2025-08-05 14:33:36,CUST000000001239,648344,1,2000000067063,1,USD,$42,15%,7,app,
2025-08-05,2025-08-05 05:30:06,CUST000000268570,648345,1,2000000141282,Two,INR,11124,0%,2670,web,
2025-08-05,2025-08-05 18:41:58,CUST000000044717,648346,1,2000000166797,Two,USD,$26,4%,10,web,
2025-08-05,2025-08-05 03:53:41,CUST000000166330,648347,1,2000000261805,1,INR,2912,15%,297,web,FEST20
2025-08-05,2025-08-05 03:53:41,CUST000000166330,648347,2,2000000087900,3,INR,107370,0%,57908,web,FEST20
2025-08-05,2025-08-05 21:15:59,CUST000000036252,648348,1,2000000263274,1,CAD,156,2%,19,app,NEW10
2025-08-05,2025-08-05 21:15:59,CUST000000036252,648348,2,2000000405735,1,CAD,1315,8%,61,app,NEW10
2025-08-05,2025-08-05 22:41:21,CUST000000023116,648349,1,2000000399829,Two,INR,3157,10%,1028,web,
2025-08-05,2025-08-05 23:58:48,CUST000000208282,648350,1,2000000499178,Two,AUD,7,11%,2,app,
2025-08-05,2025-08-05 15:33:27,CUST000000291953,648351,1,2000000254111,3,SGD,1755,6%,595,web,FEST20
2025-08-05,2025-08-05 09:43:37,CUST000000044038,648352,1,2000000011431,1,INR,108894,17%,16223,web,FEST20
2025-08-05,2025-08-05 06:51:21,CUST000000055529,648353,1,2000000339320,1,CAD,34,2%,5,web,
2025-08-05,2025-08-05 06:07:49,CUST000000237248,648354,1,2000000193465,Two,INR,7204,16%,2172,web,
2025-08-05,2025-08-05 00:40:02,CUST000000000829,648355,1,2000000009711,Two,INR,4313,2%,424,app,
2025-08-05,2025-08-05 00:40:02,CUST000000000829,648355,2,2000000221199,Two,INR,3998,0%,400,app,
2025-08-05,2025-08-05 00:40:02,CUST000000000829,648355,3,2000000154077,1,INR,496,5%,24,app,
2025-08-05,2025-08-05 00:40:02,CUST000000000829,648355,4,2000000238647,1,INR,67669,1%,3349,app,
2025-08-05,2025-08-05 18:34:28,CUST000000054734,648356,1,2000000323992,Two,INR,1917,19%,557,app,
2025-08-05,2025-08-05 18:34:28,CUST000000054734,648356,2,2000000456966,1,INR,1158,0%,140,app,
2025-08-05,2025-08-05 18:34:28,CUST000000054734,648356,3,2000000067063,1,INR,3151,18%,311,app,
